time,device,vmCount,ramUsed,ramTotal,ramUtilPercent,cpuUtilPercent,energyConsumed,networkLatency,packetLoss
10,cloud,4,2000,40000,5.00,55.14,0.0010,100.46,0.0000
10,fog-0,4,3500,4000,87.50,49.63,0.0010,1.59,0.0000
10,cam-1,2,800,1000,80.00,14.11,0.0010,2.74,0.0000
10,cam-2,2,800,1000,80.00,22.95,0.0010,1.40,0.0000
10,soil-sensor-node,2,400,512,78.13,30.18,0.0010,1.78,0.0000
10,signal-monitor,2,600,1024,58.59,24.51,0.0010,1.24,0.0000
10,irrigation-controller,2,300,2048,14.65,31.25,0.0010,0.96,0.0000
100,cloud,4,2000,40000,5.00,46.71,0.0010,99.91,0.0000
100,fog-0,4,3500,4000,87.50,52.72,0.0010,1.32,0.0000
100,cam-1,2,800,1000,80.00,8.16,0.0010,1.94,0.0000
100,cam-2,2,800,1000,80.00,14.27,0.0010,2.13,0.0000
100,soil-sensor-node,2,400,512,78.13,25.24,0.0010,2.06,0.0000
100,signal-monitor,2,600,1024,58.59,11.51,0.0010,1.93,0.0000
100,irrigation-controller,2,300,2048,14.65,33.07,0.0010,1.15,0.0000
110,cloud,4,2000,40000,5.00,51.35,0.0010,99.24,0.0000
110,fog-0,4,3500,4000,87.50,48.09,0.0010,1.06,0.0000
110,cam-1,2,800,1000,80.00,17.30,0.0010,1.55,0.0000
110,cam-2,2,800,1000,80.00,26.41,0.0010,2.30,0.0000
110,soil-sensor-node,2,400,512,78.13,32.60,0.0010,2.11,0.0000
110,signal-monitor,2,600,1024,58.59,18.70,0.0010,1.46,0.0000
110,irrigation-controller,2,300,2048,14.65,33.30,0.0010,0.87,0.0000
200,cloud,4,2000,40000,5.00,34.37,0.0010,99.80,0.0000
200,fog-0,4,3500,4000,87.50,43.80,0.0010,2.22,0.0000
200,cam-1,2,800,1000,80.00,7.46,0.0010,2.35,0.0000
200,cam-2,2,800,1000,80.00,16.63,0.0010,2.63,0.0000
200,soil-sensor-node,2,400,512,78.13,29.45,0.0010,1.60,0.0000
200,signal-monitor,2,600,1024,58.59,24.66,0.0010,0.30,0.0000
200,irrigation-controller,2,300,2048,14.65,24.09,0.0010,0.10,0.0000
200,cloud,4,2000,40000,5.00,37.75,0.0010,100.37,0.0000
200,fog-0,4,3500,4000,87.50,44.95,0.0010,2.22,0.0000
200,cam-1,2,800,1000,80.00,12.50,0.0010,2.60,0.0000
200,cam-2,2,800,1000,80.00,23.94,0.0010,2.38,0.0000
200,soil-sensor-node,2,400,512,78.13,24.33,0.0010,1.71,0.0000
200,signal-monitor,2,600,1024,58.59,19.80,0.0010,2.11,0.0000
200,irrigation-controller,2,300,2048,14.65,20.71,0.0010,1.06,0.0000
210,cloud,4,2000,40000,5.00,46.19,0.0010,100.45,0.0000
210,fog-0,4,3500,4000,87.50,50.91,0.0010,1.78,0.0000
210,cam-1,2,800,1000,80.00,16.94,0.0010,1.67,0.0000
210,cam-2,2,800,1000,80.00,17.04,0.0010,2.92,0.0000
210,soil-sensor-node,2,400,512,78.13,28.41,0.0010,0.34,0.0000
210,signal-monitor,2,600,1024,58.59,18.07,0.0010,0.50,0.0000
210,irrigation-controller,2,300,2048,14.65,37.39,0.0010,1.18,0.0000
300,cloud,4,2000,40000,5.00,41.49,0.0010,99.85,0.0000
300,fog-0,4,3500,4000,87.50,47.83,0.0010,2.22,0.0000
300,cam-1,2,800,1000,80.00,17.00,0.0010,1.60,0.0000
300,cam-2,2,800,1000,80.00,16.78,0.0010,2.69,0.0000
300,soil-sensor-node,2,400,512,78.13,25.63,0.0010,2.27,0.0000
300,signal-monitor,2,600,1024,58.59,19.93,0.0010,0.75,0.0000
300,irrigation-controller,2,300,2048,14.65,29.61,0.0010,0.48,0.0000
300,cloud,4,2000,40000,5.00,40.58,0.0010,99.75,0.0000
300,fog-0,4,3500,4000,87.50,54.65,0.0010,1.58,0.0000
300,cam-1,2,800,1000,80.00,16.18,0.0010,2.15,0.0000
300,cam-2,2,800,1000,80.00,8.27,0.0010,2.04,0.0000
300,soil-sensor-node,2,400,512,78.13,16.95,0.0010,1.51,0.0000
300,signal-monitor,2,600,1024,58.59,10.54,0.0010,1.41,0.0000
300,irrigation-controller,2,300,2048,14.65,31.73,0.0010,1.22,0.0000
300,cloud,4,2000,40000,5.00,37.44,0.0010,99.63,0.0000
300,fog-0,4,3500,4000,87.50,51.39,0.0010,1.72,0.0000
300,cam-1,2,800,1000,80.00,21.56,0.0010,1.65,0.0000
300,cam-2,2,800,1000,80.00,19.30,0.0010,2.21,0.0000
300,soil-sensor-node,2,400,512,78.13,28.38,0.0010,1.33,0.0000
300,signal-monitor,2,600,1024,58.59,26.31,0.0010,1.18,0.0000
300,irrigation-controller,2,300,2048,14.65,17.98,0.0010,0.87,0.0000
310,cloud,4,2000,40000,5.00,33.44,0.0010,100.94,0.0000
310,fog-0,4,3500,4000,87.50,42.98,0.0010,1.92,0.0000
310,cam-1,2,800,1000,80.00,18.05,0.0010,1.78,0.0000
310,cam-2,2,800,1000,80.00,20.92,0.0010,2.69,0.0000
310,soil-sensor-node,2,400,512,78.13,21.73,0.0010,1.52,0.0000
310,signal-monitor,2,600,1024,58.59,1.85,0.0010,1.01,0.0000
310,irrigation-controller,2,300,2048,14.65,25.58,0.0010,0.28,0.0000
400,cloud,4,2000,40000,5.00,31.14,0.0010,99.85,0.0000
400,fog-0,4,3500,4000,87.50,42.21,0.0010,1.89,0.0000
400,cam-1,2,800,1000,80.00,15.81,0.0010,2.21,0.0000
400,cam-2,2,800,1000,80.00,21.52,0.0010,2.09,0.0000
400,soil-sensor-node,2,400,512,78.13,25.40,0.0010,1.19,0.0000
400,signal-monitor,2,600,1024,58.59,19.52,0.0010,1.25,0.0000
400,irrigation-controller,2,300,2048,14.65,23.63,0.0010,1.18,0.0000
400,cloud,4,2000,40000,5.00,41.96,0.0010,99.59,0.0000
400,fog-0,4,3500,4000,87.50,54.19,0.0010,0.98,0.0000
400,cam-1,2,800,1000,80.00,16.04,0.0010,2.17,0.0000
400,cam-2,2,800,1000,80.00,21.18,0.0010,1.99,0.0000
400,soil-sensor-node,2,400,512,78.13,24.72,0.0010,0.92,0.0000
400,signal-monitor,2,600,1024,58.59,19.73,0.0010,0.31,0.0000
400,irrigation-controller,2,300,2048,14.65,23.89,0.0010,0.43,0.0000
400,cloud,4,2000,40000,5.00,28.39,0.0010,99.38,0.0000
400,fog-0,4,3500,4000,87.50,42.77,0.0010,0.83,0.0000
400,cam-1,2,800,1000,80.00,10.88,0.0010,2.72,0.0000
400,cam-2,2,800,1000,80.00,24.93,0.0010,2.64,0.0000
400,soil-sensor-node,2,400,512,78.13,15.71,0.0010,1.81,0.0000
400,signal-monitor,2,600,1024,58.59,15.89,0.0010,1.35,0.0000
400,irrigation-controller,2,300,2048,14.65,22.19,0.0010,1.60,0.0000
400,cloud,4,2000,40000,5.00,26.43,0.0010,100.52,0.0000
400,fog-0,4,3500,4000,87.50,50.09,0.0010,1.32,0.0000
400,cam-1,2,800,1000,80.00,12.44,0.0010,1.72,0.0000
400,cam-2,2,800,1000,80.00,16.96,0.0010,2.18,0.0000
400,soil-sensor-node,2,400,512,78.13,23.64,0.0010,1.36,0.0000
400,signal-monitor,2,600,1024,58.59,19.89,0.0010,1.10,0.0000
400,irrigation-controller,2,300,2048,14.65,19.92,0.0010,1.71,0.0000
410,cloud,4,2000,40000,5.00,30.52,0.0010,99.88,0.0000
410,fog-0,4,3500,4000,87.50,37.91,0.0010,1.60,0.0000
410,cam-1,2,800,1000,80.00,16.98,0.0010,2.00,0.0000
410,cam-2,2,800,1000,80.00,20.56,0.0010,2.05,0.0000
410,soil-sensor-node,2,400,512,78.13,18.46,0.0010,1.45,0.0000
410,signal-monitor,2,600,1024,58.59,9.00,0.0010,1.07,0.0000
410,irrigation-controller,2,300,2048,14.65,24.96,0.0010,1.31,0.0000
500,cloud,4,2000,40000,5.00,27.81,0.0010,100.54,0.0000
500,fog-0,4,3500,4000,87.50,45.52,0.0010,1.86,0.0000
500,cam-1,2,800,1000,80.00,17.48,0.0010,1.52,0.0000
500,cam-2,2,800,1000,80.00,17.43,0.0010,1.61,0.0000
500,soil-sensor-node,2,400,512,78.13,21.51,0.0010,1.63,0.0000
500,signal-monitor,2,600,1024,58.59,25.60,0.0010,0.45,0.0000
500,irrigation-controller,2,300,2048,14.65,4.56,0.0010,1.87,0.0000
500,cloud,4,2000,40000,5.00,32.35,0.0010,99.22,0.0000
500,fog-0,4,3500,4000,87.50,56.07,0.0010,2.60,0.0000
500,cam-1,2,800,1000,80.00,12.98,0.0010,1.89,0.0000
500,cam-2,2,800,1000,80.00,20.81,0.0010,1.54,0.0000
500,soil-sensor-node,2,400,512,78.13,25.39,0.0010,1.18,0.0000
500,signal-monitor,2,600,1024,58.59,14.11,0.0010,0.96,0.0000
500,irrigation-controller,2,300,2048,14.65,8.87,0.0010,0.86,0.0000
500,cloud,4,2000,40000,5.00,36.48,0.0010,99.71,0.0000
500,fog-0,4,3500,4000,87.50,57.80,0.0010,1.96,0.0000
500,cam-1,2,800,1000,80.00,18.25,0.0010,2.42,0.0000
500,cam-2,2,800,1000,80.00,4.16,0.0010,2.04,0.0000
500,soil-sensor-node,2,400,512,78.13,15.44,0.0010,2.30,0.0000
500,signal-monitor,2,600,1024,58.59,9.51,0.0010,1.07,0.0000
500,irrigation-controller,2,300,2048,14.65,19.44,0.0010,0.10,0.0000
500,cloud,4,2000,40000,5.00,36.42,0.0010,99.99,0.0000
500,fog-0,4,3500,4000,87.50,50.98,0.0010,1.99,0.0000
500,cam-1,2,800,1000,80.00,34.32,0.0010,1.97,0.0000
500,cam-2,2,800,1000,80.00,9.72,0.0010,2.41,0.0000
500,soil-sensor-node,2,400,512,78.13,16.93,0.0010,1.78,0.0000
500,signal-monitor,2,600,1024,58.59,19.22,0.0010,1.46,0.0000
500,irrigation-controller,2,300,2048,14.65,30.93,0.0010,1.18,0.0000
500,cloud,4,2000,40000,5.00,26.35,0.0010,100.31,0.0000
500,fog-0,4,3500,4000,87.50,44.30,0.0010,2.00,0.0000
500,cam-1,2,800,1000,80.00,24.35,0.0010,2.80,0.0000
500,cam-2,2,800,1000,80.00,15.50,0.0010,1.17,0.0000
500,soil-sensor-node,2,400,512,78.13,21.29,0.0010,2.62,0.0000
500,signal-monitor,2,600,1024,58.59,15.25,0.0010,1.43,0.0000
500,irrigation-controller,2,300,2048,14.65,22.64,0.0010,0.75,0.0000
510,cloud,4,2000,40000,5.00,36.46,0.0010,99.76,0.0000
510,fog-0,4,3500,4000,87.50,51.34,0.0010,1.72,0.0000
510,cam-1,2,800,1000,80.00,23.07,0.0010,1.86,0.0000
510,cam-2,2,800,1000,80.00,9.17,0.0010,1.33,0.0000
510,soil-sensor-node,2,400,512,78.13,17.18,0.0010,1.48,0.0000
510,signal-monitor,2,600,1024,58.59,16.99,0.0010,1.11,0.0000
510,irrigation-controller,2,300,2048,14.65,21.49,0.0010,0.66,0.0000
600,cloud,4,2000,40000,5.00,29.72,0.0010,100.35,0.0000
600,fog-0,4,3500,4000,87.50,51.69,0.0010,1.77,0.0000
600,cam-1,2,800,1000,80.00,30.27,0.0010,2.18,0.0000
600,cam-2,2,800,1000,80.00,18.73,0.0010,2.07,0.0000
600,soil-sensor-node,2,400,512,78.13,18.04,0.0010,1.80,0.0000
600,signal-monitor,2,600,1024,58.59,23.87,0.0010,1.14,0.0000
600,irrigation-controller,2,300,2048,14.65,22.36,0.0010,1.47,0.0000
600,cloud,4,2000,40000,5.00,29.17,0.0010,99.22,0.0000
600,fog-0,4,3500,4000,87.50,50.62,0.0010,2.11,0.0000
600,cam-1,2,800,1000,80.00,22.34,0.0010,1.76,0.0000
600,cam-2,2,800,1000,80.00,19.33,0.0010,2.18,0.0000
600,soil-sensor-node,2,400,512,78.13,5.74,0.0010,1.52,0.0000
600,signal-monitor,2,600,1024,58.59,24.17,0.0010,1.58,0.0000
600,irrigation-controller,2,300,2048,14.65,31.10,0.0010,0.31,0.0000
600,cloud,4,2000,40000,5.00,37.38,0.0010,100.42,0.0000
600,fog-0,4,3500,4000,87.50,48.73,0.0010,2.48,0.0000
600,cam-1,2,800,1000,80.00,9.12,0.0010,2.09,0.0000
600,cam-2,2,800,1000,80.00,21.68,0.0010,2.56,0.0000
600,soil-sensor-node,2,400,512,78.13,19.19,0.0010,1.55,0.0000
600,signal-monitor,2,600,1024,58.59,14.31,0.0010,1.21,0.0000
600,irrigation-controller,2,300,2048,14.65,20.69,0.0010,1.48,0.0000
600,cloud,4,2000,40000,5.00,23.11,0.0010,100.12,0.0000
600,fog-0,4,3500,4000,87.50,44.83,0.0010,1.48,0.0000
600,cam-1,2,800,1000,80.00,17.10,0.0010,2.29,0.0000
600,cam-2,2,800,1000,80.00,22.10,0.0010,1.71,0.0000
600,soil-sensor-node,2,400,512,78.13,19.55,0.0010,1.47,0.0000
600,signal-monitor,2,600,1024,58.59,20.70,0.0010,0.52,0.0000
600,irrigation-controller,2,300,2048,14.65,23.29,0.0010,1.72,0.0000
600,cloud,4,2000,40000,5.00,30.63,0.0010,100.05,0.0000
600,fog-0,4,3500,4000,87.50,48.62,0.0010,2.04,0.0000
600,cam-1,2,800,1000,80.00,16.25,0.0010,2.53,0.0000
600,cam-2,2,800,1000,80.00,22.48,0.0010,2.09,0.0000
600,soil-sensor-node,2,400,512,78.13,15.96,0.0010,0.77,0.0000
600,signal-monitor,2,600,1024,58.59,20.87,0.0010,0.95,0.0000
600,irrigation-controller,2,300,2048,14.65,17.53,0.0010,0.32,0.0000
600,cloud,4,2000,40000,5.00,27.24,0.0010,99.63,0.0000
600,fog-0,4,3500,4000,87.50,52.15,0.0010,2.09,0.0000
600,cam-1,2,800,1000,80.00,14.99,0.0010,1.00,0.0000
600,cam-2,2,800,1000,80.00,0.00,0.0010,1.21,0.0000
600,soil-sensor-node,2,400,512,78.13,15.86,0.0010,1.37,0.0000
600,signal-monitor,2,600,1024,58.59,25.18,0.0010,1.36,0.0000
600,irrigation-controller,2,300,2048,14.65,16.99,0.0010,0.12,0.0000
610,cloud,4,2000,40000,5.00,27.22,0.0010,101.05,0.0000
610,fog-0,4,3500,4000,87.50,42.91,0.0010,1.66,0.0000
610,cam-1,2,800,1000,80.00,20.61,0.0010,1.44,0.0000
610,cam-2,2,800,1000,80.00,19.53,0.0010,2.97,0.0000
610,soil-sensor-node,2,400,512,78.13,10.13,0.0010,1.24,0.0000
610,signal-monitor,2,600,1024,58.59,0.92,0.0010,0.65,0.0000
610,irrigation-controller,2,300,2048,14.65,20.87,0.0010,0.84,0.0000
700,cloud,4,2000,40000,5.00,36.10,0.0010,100.22,0.0000
700,fog-0,4,3500,4000,87.50,43.53,0.0010,2.52,0.0000
700,cam-1,2,800,1000,80.00,20.09,0.0010,2.53,0.0000
700,cam-2,2,800,1000,80.00,13.50,0.0010,1.93,0.0000
700,soil-sensor-node,2,400,512,78.13,9.62,0.0010,1.27,0.0000
700,signal-monitor,2,600,1024,58.59,15.97,0.0010,1.72,0.0000
700,irrigation-controller,2,300,2048,14.65,24.99,0.0010,1.57,0.0000
700,cloud,4,2000,40000,5.00,28.80,0.0010,101.12,0.0000
700,fog-0,4,3500,4000,87.50,47.88,0.0010,2.05,0.0000
700,cam-1,2,800,1000,80.00,20.78,0.0010,2.57,0.0000
700,cam-2,2,800,1000,80.00,10.66,0.0010,2.04,0.0000
700,soil-sensor-node,2,400,512,78.13,18.71,0.0010,2.48,0.0000
700,signal-monitor,2,600,1024,58.59,15.15,0.0010,1.10,0.0000
700,irrigation-controller,2,300,2048,14.65,12.97,0.0010,0.88,0.0000
700,cloud,4,2000,40000,5.00,25.97,0.0010,99.63,0.0000
700,fog-0,4,3500,4000,87.50,50.48,0.0010,1.40,0.0000
700,cam-1,2,800,1000,80.00,23.79,0.0010,1.04,0.0000
700,cam-2,2,800,1000,80.00,21.31,0.0010,1.82,0.0000
700,soil-sensor-node,2,400,512,78.13,18.57,0.0010,1.83,0.0000
700,signal-monitor,2,600,1024,58.59,22.99,0.0010,1.21,0.0000
700,irrigation-controller,2,300,2048,14.65,20.72,0.0010,0.99,0.0000
700,cloud,4,2000,40000,5.00,25.87,0.0010,99.67,0.0000
700,fog-0,4,3500,4000,87.50,51.88,0.0010,1.06,0.0000
700,cam-1,2,800,1000,80.00,25.81,0.0010,2.48,0.0000
700,cam-2,2,800,1000,80.00,27.53,0.0010,2.10,0.0000
700,soil-sensor-node,2,400,512,78.13,16.95,0.0010,0.63,0.0000
700,signal-monitor,2,600,1024,58.59,18.63,0.0010,0.84,0.0000
700,irrigation-controller,2,300,2048,14.65,19.82,0.0010,1.64,0.0000
700,cloud,4,2000,40000,5.00,26.21,0.0010,100.39,0.0000
700,fog-0,4,3500,4000,87.50,54.28,0.0010,2.16,0.0000
700,cam-1,2,800,1000,80.00,17.46,0.0010,1.89,0.0000
700,cam-2,2,800,1000,80.00,12.92,0.0010,1.77,0.0000
700,soil-sensor-node,2,400,512,78.13,14.25,0.0010,2.00,0.0000
700,signal-monitor,2,600,1024,58.59,9.62,0.0010,1.61,0.0000
700,irrigation-controller,2,300,2048,14.65,12.45,0.0010,1.00,0.0000
700,cloud,4,2000,40000,5.00,29.72,0.0010,99.33,0.0000
700,fog-0,4,3500,4000,87.50,48.77,0.0010,2.08,0.0000
700,cam-1,2,800,1000,80.00,10.69,0.0010,1.44,0.0000
700,cam-2,2,800,1000,80.00,19.53,0.0010,1.68,0.0000
700,soil-sensor-node,2,400,512,78.13,18.85,0.0010,1.62,0.0000
700,signal-monitor,2,600,1024,58.59,14.60,0.0010,0.70,0.0000
700,irrigation-controller,2,300,2048,14.65,17.20,0.0010,0.87,0.0000
700,cloud,4,2000,40000,5.00,19.01,0.0010,100.04,0.0000
700,fog-0,4,3500,4000,87.50,51.49,0.0010,2.19,0.0000
700,cam-1,2,800,1000,80.00,20.64,0.0010,1.16,0.0000
700,cam-2,2,800,1000,80.00,15.34,0.0010,1.87,0.0000
700,soil-sensor-node,2,400,512,78.13,22.74,0.0010,1.95,0.0000
700,signal-monitor,2,600,1024,58.59,22.01,0.0010,0.82,0.0000
700,irrigation-controller,2,300,2048,14.65,16.35,0.0010,0.82,0.0000
710,cloud,4,2000,40000,5.00,34.04,0.0010,99.06,0.0000
710,fog-0,4,3500,4000,87.50,51.06,0.0010,1.99,0.0000
710,cam-1,2,800,1000,80.00,21.44,0.0010,1.55,0.0000
710,cam-2,2,800,1000,80.00,26.15,0.0010,2.04,0.0000
710,soil-sensor-node,2,400,512,78.13,9.46,0.0010,0.84,0.0000
710,signal-monitor,2,600,1024,58.59,23.06,0.0010,1.22,0.0000
710,irrigation-controller,2,300,2048,14.65,18.96,0.0010,1.05,0.0000
800,cloud,4,2000,40000,5.00,28.15,0.0010,99.75,0.0000
800,fog-0,4,3500,4000,87.50,58.66,0.0010,2.99,0.0000
800,cam-1,2,800,1000,80.00,18.89,0.0010,1.87,0.0000
800,cam-2,2,800,1000,80.00,24.88,0.0010,1.72,0.0000
800,soil-sensor-node,2,400,512,78.13,16.26,0.0010,0.85,0.0000
800,signal-monitor,2,600,1024,58.59,20.95,0.0010,0.81,0.0000
800,irrigation-controller,2,300,2048,14.65,21.91,0.0010,0.10,0.0000
800,cloud,4,2000,40000,5.00,29.38,0.0010,99.66,0.0000
800,fog-0,4,3500,4000,87.50,44.81,0.0010,2.31,0.0000
800,cam-1,2,800,1000,80.00,19.68,0.0010,2.07,0.0000
800,cam-2,2,800,1000,80.00,16.38,0.0010,2.19,0.0000
800,soil-sensor-node,2,400,512,78.13,21.07,0.0010,0.91,0.0000
800,signal-monitor,2,600,1024,58.59,20.22,0.0010,1.21,0.0000
800,irrigation-controller,2,300,2048,14.65,11.85,0.0010,1.16,0.0000
800,cloud,4,2000,40000,5.00,3.16,0.0010,101.07,0.0000
800,fog-0,4,3500,4000,87.50,53.28,0.0010,3.40,0.0000
800,cam-1,2,800,1000,80.00,26.16,0.0010,1.81,0.0000
800,cam-2,2,800,1000,80.00,15.14,0.0010,2.05,0.0000
800,soil-sensor-node,2,400,512,78.13,16.59,0.0010,0.74,0.0000
800,signal-monitor,2,600,1024,58.59,22.51,0.0010,1.95,0.0000
800,irrigation-controller,2,300,2048,14.65,19.56,0.0010,0.98,0.0000
800,cloud,4,2000,40000,5.00,30.11,0.0010,100.73,0.0000
800,fog-0,4,3500,4000,87.50,55.34,0.0010,1.64,0.0000
800,cam-1,2,800,1000,80.00,22.88,0.0010,1.55,0.0000
800,cam-2,2,800,1000,80.00,17.51,0.0010,1.71,0.0000
800,soil-sensor-node,2,400,512,78.13,14.96,0.0010,1.15,0.0000
800,signal-monitor,2,600,1024,58.59,12.70,0.0010,0.99,0.0000
800,irrigation-controller,2,300,2048,14.65,14.82,0.0010,1.17,0.0000
800,cloud,4,2000,40000,5.00,31.49,0.0010,100.02,0.0000
800,fog-0,4,3500,4000,87.50,42.79,0.0010,2.48,0.0000
800,cam-1,2,800,1000,80.00,17.50,0.0010,1.91,0.0000
800,cam-2,2,800,1000,80.00,17.62,0.0010,2.16,0.0000
800,soil-sensor-node,2,400,512,78.13,22.58,0.0010,1.47,0.0000
800,signal-monitor,2,600,1024,58.59,55.98,0.0010,0.99,0.0000
800,irrigation-controller,2,300,2048,14.65,22.13,0.0010,0.60,0.0000
800,cloud,4,2000,40000,5.00,34.41,0.0010,99.95,0.0000
800,fog-0,4,3500,4000,87.50,55.47,0.0010,1.75,0.0000
800,cam-1,2,800,1000,80.00,24.92,0.0010,1.85,0.0000
800,cam-2,2,800,1000,80.00,9.78,0.0010,1.48,0.0000
800,soil-sensor-node,2,400,512,78.13,23.94,0.0010,2.00,0.0000
800,signal-monitor,2,600,1024,58.59,10.61,0.0010,0.96,0.0000
800,irrigation-controller,2,300,2048,14.65,13.93,0.0010,2.04,0.0000
800,cloud,4,2000,40000,5.00,27.60,0.0010,99.47,0.0000
800,fog-0,4,3500,4000,87.50,45.84,0.0010,1.89,0.0000
800,cam-1,2,800,1000,80.00,26.76,0.0010,1.03,0.0000
800,cam-2,2,800,1000,80.00,14.17,0.0010,1.93,0.0000
800,soil-sensor-node,2,400,512,78.13,11.16,0.0010,1.33,0.0000
800,signal-monitor,2,600,1024,58.59,22.53,0.0010,0.64,0.0000
800,irrigation-controller,2,300,2048,14.65,14.88,0.0010,1.37,0.0000
800,cloud,4,2000,40000,5.00,21.27,0.0010,99.59,0.0000
800,fog-0,4,3500,4000,87.50,36.54,0.0010,2.27,0.0000
800,cam-1,2,800,1000,80.00,25.52,0.0010,2.67,0.0000
800,cam-2,2,800,1000,80.00,26.48,0.0010,2.83,0.0000
800,soil-sensor-node,2,400,512,78.13,12.64,0.0010,0.41,0.0000
800,signal-monitor,2,600,1024,58.59,18.37,0.0010,0.55,0.0000
800,irrigation-controller,2,300,2048,14.65,5.67,0.0010,1.03,0.0000
810,cloud,4,2000,40000,5.00,25.67,0.0010,100.53,0.0000
810,fog-0,4,3500,4000,87.50,41.74,0.0010,2.43,0.0000
810,cam-1,2,800,1000,80.00,19.83,0.0010,1.75,0.0000
810,cam-2,2,800,1000,80.00,23.27,0.0010,2.38,0.0000
810,soil-sensor-node,2,400,512,78.13,18.61,0.0010,0.71,0.0000
810,signal-monitor,2,600,1024,58.59,14.22,0.0010,1.02,0.0000
810,irrigation-controller,2,300,2048,14.65,14.69,0.0010,1.79,0.0000
900,cloud,4,2000,40000,5.00,27.58,0.0010,100.57,0.0000
900,fog-0,4,3500,4000,87.50,58.48,0.0010,1.84,0.0000
900,cam-1,2,800,1000,80.00,9.86,0.0010,1.55,0.0000
900,cam-2,2,800,1000,80.00,21.11,0.0010,2.56,0.0000
900,soil-sensor-node,2,400,512,78.13,18.37,0.0010,1.46,0.0000
900,signal-monitor,2,600,1024,58.59,10.77,0.0010,0.72,0.0000
900,irrigation-controller,2,300,2048,14.65,10.24,0.0010,0.11,0.0000
900,cloud,4,2000,40000,5.00,24.58,0.0010,99.60,0.0000
900,fog-0,4,3500,4000,87.50,50.33,0.0010,2.21,0.0000
